m_hot,m_cold,T_hot_in,T_hot_out,T_cold_in,T_cold_out,Efficiency,Status,Energy_Balance_Error
5.099342830602247,9.788120158988649,116.60752634756389,-84.66492783409421,24.71315356708214,87.426934934507,0.9972214518595118,Healthy,0.0
4.9723471397657635,9.773292945808073,118.47250268473174,-91.73257931524672,24.93468819251938,88.89748757356811,0.9976987114028946,Healthy,0.0
5.1295377076201385,9.102178413684992,117.01309469477428,-83.61053144064337,25.128589757175163,92.74913766059196,1.0,Healthy,4.547473508864641e-13
5.304605971281605,9.834954904149281,120.5520902347306,-76.25945250840937,26.89372292329236,90.3822204471354,0.9952658212784987,Healthy,0.0
4.953169325055333,10.366414540910872,125.98589265730956,-105.7404203653424,23.505565383026514,89.72625230233788,1.0,Healthy,0.0
4.9531726086101635,9.362883940461602,116.14478921429398,-93.77719291136697,23.30730601697468,89.7267855097559,1.0,Healthy,0.0
5.315842563101478,10.524241325525296,125.00410248884207,-80.48461405691462,27.47323948428595,89.55056795564191,1.0,Healthy,0.0
5.153486945830582,10.243887410542168,116.09163963826556,-81.36999396159895,24.074710516237403,83.48789575607815,0.9874114244605204,Healthy,0.0
4.90610512281301,9.632883339014482,115.76186393751559,-97.20235958919724,22.473929292845867,87.34497921640224,1.0,Healthy,0.0
5.108512008717193,9.929235181331077,124.09297309171606,-91.47311083436549,24.02974011580026,90.36169250087451,0.982612529506341,Healthy,0.0
4.9073164614375075,10.799160903820516,124.60968189003809,-102.68570940944464,24.339894529511998,86.11427666580668,0.9932225675978986,Healthy,0.0
4.906854049285949,10.366773906752933,124.25704968381328,-94.32108180049971,28.10992545545153,89.98702517965158,0.9959912609440825,Healthy,0.0
5.048392454313207,10.004391827449075,113.4210129589093,-78.63997412899948,26.849652424753476,84.8145802754346,1.0,Healthy,0.0
4.61734395106844,9.881158341519507,117.67024510963975,-101.54718684735843,27.295041233264485,88.5615567443995,1.0,Healthy,4.547473508864641e-13
4.655016433497393,10.03830453522583,124.1149429600166,-109.30322562292963,26.639947284693573,91.37794094415153,0.995278513573233,Healthy,0.0
4.8875424941518055,9.744118221028849,120.20770920281947,-93.62188203563241,26.892487343230627,91.03995767581313,0.9999719928346024,Healthy,0.0
4.797433775933115,8.947625247140493,114.63153576901269,-97.83335438991128,23.623835746839365,91.75598704376061,1.0,Healthy,0.0
5.062849466519054,11.021088955267366,122.29158969562721,-93.81487369152097,24.602795689293032,83.97757247851393,1.0,Healthy,0.0
4.818395184895758,10.0776624995997,116.42596370504265,-100.6888341404225,23.020169373952903,85.10646634413689,1.0,Healthy,0.0
4.717539259732941,10.19907363256127,128.97262424196106,-115.12865724303037,24.579023938925932,92.10775394908312,0.9849035075407373,Healthy,0.0
5.293129753784311,9.971046125061546,127.7242073120913,-82.84321397768329,26.368209981869484,93.22210583488871,0.9818298798336905,Healthy,0.0
4.9548447399026925,9.632441599637707,123.02048713177784,-97.39131896162958,25.269166569624495,93.07893260953941,0.9975260543739887,Healthy,0.0
5.013505640937585,9.907037759525615,126.80503352384886,-94.30623997869972,27.62296163792059,94.54548415343211,0.9979325647385453,Healthy,0.0
4.715050362757308,9.200302618902844,120.3239567506169,-111.52850403911475,22.71716841554556,93.78280652443055,1.0,Healthy,0.0
4.891123455094964,11.138543249026652,123.82718747187508,-100.1825253657837,26.00047670139648,84.83209645593949,1.0,Healthy,0.0
5.022184517941973,9.382744000788803,127.38860147651037,-103.74249771682638,22.503394396261363,96.49541873582729,0.9881406984777213,Healthy,9.094947017729282e-13
4.769801284515539,9.48401685807641,121.22749340897157,-100.7249724534801,25.188352938347286,91.95071138549358,0.9842240506469885,Healthy,4.547473508864641e-13
